canonical,variants,total_amount,edge_count,fec_id,evidence,approve_yn
ENVIRONMENT AMERICA INC,Environment America INC,437273,87,C90010513,casing only; FEC ID C90010513,
"Wfw Action Fund, Inc.","WFW ACTION FUND, INC.",425185,12,C00698936,casing only; FEC ID C00698936,
Living United for Change in Arizona,LIVING UNITED FOR CHANGE IN ARIZONA,417461,3,C90018169,casing only; FEC ID C90018169,
Opportunity for All Action Fund,OPPORTUNITY FOR ALL ACTION FUND,388550,4,C90021353,casing only; FEC ID C90021353,
Powerpacplus,POWERPACPLUS,358872,4,C00516500,casing only; FEC ID C00516500,
Performance Racing Inc.,PERFORMANCE RACING INC.,332154,119,C90021965,casing only; FEC ID C90021965,
Mad Dog PAC,MAD DOG PAC,308216,11,C00663211,casing only; FEC ID C00663211,
National Wildlife Federation Action Fund,NATIONAL WILDLIFE FEDERATION ACTION FUND,291171,23,C90009994,casing only; FEC ID C90009994,
International Longshore and Warehouse Union -- Political Action Fund,INTERNATIONAL LONGSHORE AND WAREHOUSE UNION -- POLITICAL ACTION FUND,269551,49,C00176214,casing only; FEC ID C00176214,
Freedom's Defense Fund,FREEDOM'S DEFENSE FUND,264250,46,C00401786,casing only; FEC ID C00401786,
Tzedek PAC,TZEDEK PAC,261900,46,C00770511,casing only; FEC ID C00770511,
American Conservative Union,AMERICAN CONSERVATIVE UNION,245202,24,C90013236,casing only; FEC ID C90013236,
CAMPAIGN FOR COMMUNITY CHANGE,Campaign for Community Change,230043,6,C90012113,casing only; FEC ID C90012113,
"GEORGIANS FOR STRONG FAMILIES, INC.",Georgians for Strong Families,225000,2,C00800250,FEC ID C00800250,
THE DISABLED VETERANS COALITION PAC,The Disabled Veterans Coalition PAC,215503,2,C00759332,casing only; FEC ID C00759332,
AMERICAN JOBS AND GROWTH PAC,American Jobs and Growth PAC,208086,2,C00659219,casing only; FEC ID C00659219,
Cooperative of American Physicians Independent Expenditure Committee,COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE,195848,8,C00492116,casing only; FEC ID C00492116,
FLORIDA CONSERVATIVE FUND,Florida Conservative Fund,166304,2,C00671388,casing only; FEC ID C00671388,
Together for Progress PAC,TOGETHER FOR PROGRESS PAC,147000,4,C00688994,casing only; FEC ID C00688994,
BLUEGREEN ALLIANCE,Bluegreen Alliance,134765,18,C90020025,casing only; FEC ID C90020025,
Puget Sound Energy INC PAC for Good Government,PUGET SOUND ENERGY INC PAC FOR GOOD GOVERNMENT,131577,24,C00101592,casing only; FEC ID C00101592,
Revere America,REVERE AMERICA,118893,31,C90011701,casing only; FEC ID C90011701,
National Committee to Preserve Social Security PAC,NATIONAL COMMITTEE TO PRESERVE SOCIAL SECURITY PAC,108356,58,,casing only,
International Brotherhood of Electrical Workers Local 98 Committee on Political Education,INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 98 COMMITTEE ON POLITICAL EDUCATION,96548,11,C00162818,casing only; FEC ID C00162818,
Friends of the Earth (action) INC,FRIENDS OF THE EARTH (ACTION) INC,93773,6,C90018383,casing only; FEC ID C90018383,
Democratic Party of Virginia,DEMOCRATIC PARTY OF VIRGINIA,93664,7,C00155952,casing only; FEC ID C00155952,
FREEDOM CLUB FEDERAL PAC,Freedom Club Federal PAC,86000,4,C00307777,casing only; FEC ID C00307777,
RESOLUTE COURAGE PAC,Resolute Courage PAC,81528,5,C00866640,casing only; FEC ID C00866640,
BLUE MAJORITY PROJECT,Blue Majority Project,78529,2,C00897363,casing only; FEC ID C00897363,
Kansans for Life Political Action Committee,KANSANS FOR LIFE POLITICAL ACTION COMMITTEE,71565,9,,casing only,
COMMON SENSE FOR CONNECTICUT,Common Sense for Connecticut,69745,2,C00820084,casing only; FEC ID C00820084,
FAMILY RESEARCH COUNCIL ACTION POLITICAL ACTION COMMITTEE,Family Research Council Action Political Action Committee,67500,6,C00452383,casing only; FEC ID C00452383,
"Alliance Coal, LLC PAC","ALLIANCE COAL, LLC PAC",58069,24,C00330233,casing only; FEC ID C00330233,
Campaign for Working Families,CAMPAIGN FOR WORKING FAMILIES,50566,20,C00325076,casing only; FEC ID C00325076,
Commonwealth Communications,COMMONWEALTH COMMUNICATIONS,50258,3,C90019670,casing only; FEC ID C90019670,
Care Action Now Inc.,CARE ACTION NOW INC.,43545,9,C90021767,casing only; FEC ID C90021767,
Madison Project Inc.,MADISON PROJECT INC.,42500,5,C00298000,casing only; FEC ID C00298000,
Dream United,DREAM UNITED,40471,3,C00693028,casing only; FEC ID C00693028,
Michigan Republican Party,MICHIGAN REPUBLICAN PARTY,40081,11,C00041160,casing only; FEC ID C00041160,
Coalition to Grow San Francisco - Grow Sf PAC,COALITION TO GROW SAN FRANCISCO - GROW SF PAC,39444,4,C90021387,casing only; FEC ID C90021387,
Southern States Police Benevolent Assoc PAC Fund,SOUTHERN STATES POLICE BENEVOLENT ASSOC PAC FUND,35984,11,C00265546,casing only; FEC ID C00265546,
BLUE AMERICA PAC,Blue America PAC,22100,2,C00427617,casing only; FEC ID C00427617,
LET FREEDOM RING INC,Let Freedom Ring INC,21348,9,C90007998,casing only; FEC ID C90007998,
PLANNED PARENTHOOD ACTION FUND OF THE PACIFIC SOUTHWEST PAC,Planned Parenthood Action Fund of the Pacific Southwest PAC,21033,20,C00688432,casing only; FEC ID C00688432,
