ein,entity_id,vault_name,vault_url,profile_path,irs_filer_name,has_990_filings,filing_years,in_vault
202555951,ent_000308,ConocoPhillips,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/ConocoPhillips,content/Donors & Power Networks/Energy & Utilities/ConocoPhillips.md,The Conoco and Phillips Petroleum Heritage Museums,true,2020|2021|2022|2023|2024,true
821470217,ent_000380,Conservative Partnership Institute,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Conservative%20Partnership%20Institute,content/Donors & Power Networks/Dark Money/Conservative Partnership Institute.md,Conservative Partnership Institute,true,2019|2020|2022|2023|2024,true
261658339,ent_000309,Consumer Energy Alliance,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/Consumer%20Energy%20Alliance,content/Donors & Power Networks/Energy & Utilities/Consumer Energy Alliance.md,CONSUMER ENERGY ALLIANCE INC,true,2018|2019|2020|2021|2022|2023|2024,true
823851866,ent_000436,CoreCivic,https://thedonormap.org/Donors%20&%20Power%20Networks/Carceral%20State/CoreCivic,content/Donors & Power Networks/Carceral State/CoreCivic.md,CORECIVIC FOUNDATION THE,true,2020|2021|2022|2023|2024|2025,true
474543845,ent_000435,CoreCivic - Private Prisons,https://thedonormap.org/Donors%20&%20Power%20Networks/Carceral%20State/CoreCivic%20-%20Private%20Prisons,content/Donors & Power Networks/Carceral State/CoreCivic - Private Prisons.md,Abolish Private Prisons,true,2019|2020|2021|2022|2023,true
720921017,ent_000381,Council for National Policy,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Council%20for%20National%20Policy,content/Donors & Power Networks/Dark Money/Council for National Policy.md,COUNCIL FOR NATIONAL POLICY,true,2018|2019|2020|2022|2023,true
131628168,ent_001495,Council on Foreign Relations,https://thedonormap.org/Think%20Tanks%20&%20Policy%20Infrastructure/Centrist/Council%20on%20Foreign%20Relations,content/Think Tanks & Policy Infrastructure/Centrist/Council on Foreign Relations.md,COUNCIL ON FOREIGN RELATIONS INC,true,2019|2020|2021|2022|2023|2024,true
942552809,ent_000335,CTA - California Teachers Association,https://thedonormap.org/Donors%20&%20Power%20Networks/Education/CTA%20-%20California%20Teachers%20Association,content/Donors & Power Networks/Education/CTA - California Teachers Association.md,CTA OF BERRYESSA,true,2018|2019|2020|2021|2022|2023|2024|2025,true
746417564,ent_001491,David Sacks - Donor Network,https://thedonormap.org/Politicians/Republicans/Trump%20Cabinet/David%20Sacks/David%20Sacks%20-%20Donor%20Network,content/Politicians/Republicans/Trump Cabinet/David Sacks/David Sacks - Donor Network.md,DAVID AND BETTY SACKS FOUNDATION TRUST,true,2018|2020|2021|2022|2023|2024,true
863689961,ent_000385,Demand Justice,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Demand%20Justice,content/Donors & Power Networks/Dark Money/Demand Justice.md,DEMAND JUSTICE,true,2022|2023|2024,true
204366413,ent_000386,Democracy Alliance,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Democracy%20Alliance,content/Donors & Power Networks/Dark Money/Democracy Alliance.md,COLORADO DEMOCRACY ALLIANCE,true,2022|2023,true
943062436,ent_000387,Democratic Donor Network,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Democratic%20Donor%20Network,content/Donors & Power Networks/Dark Money/Democratic Donor Network.md,DONOR NETWORK WEST,true,2018|2019|2020|2021|2022|2023|2024,true
274862860,ent_000085,Democratic Governors Association,https://thedonormap.org/Donors%20&%20Power%20Networks/Super%20PACs/Democratic%20Governors%20Association,content/Donors & Power Networks/Super PACs/Democratic Governors Association.md,MIDWESTERN GOVERNORS ASSOCIATION,true,2018|2019|2020|2022|2023|2024,true
365040938,ent_000310,Devon Energy,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/Devon%20Energy,content/Donors & Power Networks/Energy & Utilities/Devon Energy.md,Devon Energy Charitable Foundation,true,2022|2023,true
861509286,ent_000336,DeVos Family,https://thedonormap.org/Donors%20&%20Power%20Networks/Education/DeVos%20Family,content/Donors & Power Networks/Education/DeVos Family.md,DEVOS FAMILY FOUNDATION,true,2022|2023|2024,true
833298146,ent_000263,DMFI - Democratic Majority for Israel,https://thedonormap.org/Donors%20&%20Power%20Networks/Israel%20Lobby/DMFI%20-%20Democratic%20Majority%20for%20Israel,content/Donors & Power Networks/Israel Lobby/DMFI - Democratic Majority for Israel.md,DEMOCRATIC MAJORITY FOR ISRAEL,true,2019|2020|2022|2023|2024,true
541934032,ent_000390,Donors Capital Fund,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Donors%20Capital%20Fund,content/Donors & Power Networks/Dark Money/Donors Capital Fund.md,Donors Capital Fund Inc,true,2020|2022|2023,true
473233646,ent_000087,DonorsTrust,https://thedonormap.org/Donors%20&%20Power%20Networks/Super%20PACs/DonorsTrust,content/Donors & Power Networks/Super PACs/DonorsTrust.md,DONORSRUS INC,true,2018,true
412064833,ent_000311,Drummond Co.,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/Drummond%20Co,content/Donors & Power Networks/Energy & Utilities/Drummond Co.md,,false,,true
581586283,ent_000312,Duke Energy,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/Duke%20Energy,content/Donors & Power Networks/Energy & Utilities/Duke Energy.md,DUKE ENERGY FOUNDATION,true,2020|2022|2023,true
521368964,ent_001504,Economic Policy Institute,https://thedonormap.org/Think%20Tanks%20&%20Policy%20Infrastructure/Liberal/Economic%20Policy%20Institute,content/Think Tanks & Policy Infrastructure/Liberal/Economic Policy Institute.md,ECONOMIC POLICY INSTITUTE,true,2018|2019|2020|2022|2023|2024,true
954686318,ent_000337,Eli Broad Foundation,https://thedonormap.org/Donors%20&%20Power%20Networks/Education/Eli%20Broad%20Foundation,content/Donors & Power Networks/Education/Eli Broad Foundation.md,THE ELI AND EDYTHE BROAD FOUNDATION,true,2018|2019|2020|2022|2023|2024,true
356202479,ent_000142,Eli Lilly,https://thedonormap.org/Donors%20&%20Power%20Networks/Pharma%20&%20Healthcare/Eli%20Lilly,content/Donors & Power Networks/Pharma & Healthcare/Eli Lilly.md,ELI LILLY AND COMPANY FOUNDATION,true,2020|2022|2023|2024,true
461067490,ent_000090,Emilys List,https://thedonormap.org/Donors%20&%20Power%20Networks/Super%20PACs/Emilys%20List,content/Donors & Power Networks/Super PACs/Emilys List.md,AMERICAN WOMEN,true,2020|2021|2022|2023|2024,true
363866530,ent_000392,Environmental Law & Policy Center,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Environmental%20Law%20&%20Policy%20Center,content/Donors & Power Networks/Dark Money/Environmental Law & Policy Center.md,Environmental Law and Policy Center of,true,2018|2019|2020|2021|2022|2023,true
631135091,ent_001531,Equal Justice Initiative,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Equal%20Justice%20Initiative,content/Donors & Power Networks/Dark Money/Equal Justice Initiative.md,,false,,true
237155170,ent_000051,Eric Schmidt,https://thedonormap.org/Donors%20&%20Power%20Networks/Tech%20&%20Crypto/Eric%20Schmidt,content/Donors & Power Networks/Tech & Crypto/Eric Schmidt.md,,false,,true
300451687,ent_000314,Ethanol Industry,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/Ethanol%20Industry,content/Donors & Power Networks/Energy & Utilities/Ethanol Industry.md,NEBRASKA ETHANOL INDUSTRY COALITION,true,2018|2019|2020,true
208802884,ent_000171,Everytown for Gun Safety,https://thedonormap.org/Donors%20&%20Power%20Networks/Mega-Donors/Everytown%20for%20Gun%20Safety,content/Donors & Power Networks/Mega-Donors/Everytown for Gun Safety.md,EVERYTOWN FOR GUN SAFETY ACTION FUND,true,2019|2020|2022|2023,true
136082357,ent_000315,ExxonMobil,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/ExxonMobil,content/Donors & Power Networks/Energy & Utilities/ExxonMobil.md,EXXONMOBIL FOUNDATION,true,2020|2021|2022|2023|2024,true
815109948,ent_000393,Federalist Society,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Federalist%20Society,content/Donors & Power Networks/Dark Money/Federalist Society.md,,false,,true
830791921,ent_001513,FF PAC,https://thedonormap.org/Donors%20&%20Power%20Networks/Super%20PACs/FF%20PAC,content/Donors & Power Networks/Super PACs/FF PAC.md,,false,,true
110303001,ent_000017,Fidelity Investments,https://thedonormap.org/Donors%20&%20Power%20Networks/Wall%20Street/Fidelity%20Investments,content/Donors & Power Networks/Wall Street/Fidelity Investments.md,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,true,2018|2019|2020|2021|2022|2023,true
520852291,ent_001485,Fierce Government Relations,https://thedonormap.org/Lobbying%20Firms%20&%20K%20Street/Fierce%20Government%20Relations,content/Lobbying Firms & K Street/Fierce Government Relations.md,BUSINESS-GOVERNMENT RELATIONS COUNCIL,true,2018|2019|2020|2021|2022|2023|2024,true
394827006,ent_000291,Flex Association,https://thedonormap.org/Donors%20&%20Power%20Networks/Gig%20Economy/Flex%20Association,content/Donors & Power Networks/Gig Economy/Flex Association.md,,false,,true
386054714,ent_000292,Ford Motor Company,https://thedonormap.org/Donors%20&%20Power%20Networks/Gig%20Economy/Ford%20Motor%20Company,content/Donors & Power Networks/Gig Economy/Ford Motor Company.md,,false,,true
863992946,ent_000053,Founders Fund,https://thedonormap.org/Donors%20&%20Power%20Networks/Tech%20&%20Crypto/Founders%20Fund,content/Donors & Power Networks/Tech & Crypto/Founders Fund.md,MICHIGAN FOUNDERS FUND,true,2022|2023,true
933414548,ent_000236,Fraternal Order of Police,https://thedonormap.org/Donors%20&%20Power%20Networks/Law%20Enforcement/Fraternal%20Order%20of%20Police,content/Donors & Power Networks/Law Enforcement/Fraternal Order of Police.md,,false,,true
824170762,ent_000092,Future Forward USA Action,https://thedonormap.org/Donors%20&%20Power%20Networks/Super%20PACs/Future%20Forward%20USA%20Action,content/Donors & Power Networks/Super PACs/Future Forward USA Action.md,Future Forward USA Action,true,2018|2019|2021|2022|2023|2024,true
562618866,ent_000172,Gates Foundation,https://thedonormap.org/Donors%20&%20Power%20Networks/Mega-Donors/Gates%20Foundation,content/Donors & Power Networks/Mega-Donors/Gates Foundation.md,BILL &amp; MELINDA GATES FOUNDATION,true,2017|2018|2019|2020|2022|2023|2024,true
382421395,ent_000352,General Dynamics,https://thedonormap.org/Donors%20&%20Power%20Networks/Defense%20&%20Intelligence/General%20Dynamics,content/Donors & Power Networks/Defense & Intelligence/General Dynamics.md,,false,,true
383569669,ent_000293,General Motors,https://thedonormap.org/Donors%20&%20Power%20Networks/Gig%20Economy/General%20Motors,content/Donors & Power Networks/Gig Economy/General Motors.md,CLUB GENERAL MOTORS,true,2018|2019|2022|2023|2024,true
830650656,ent_000173,George Soros,https://thedonormap.org/Donors%20&%20Power%20Networks/Mega-Donors/George%20Soros,content/Donors & Power Networks/Mega-Donors/George Soros.md,GEORGE SOROS LITERARY FOUNDATION,true,2018|2019|2020|2021|2022|2023,true
201042419,ent_000143,Gilead Sciences,https://thedonormap.org/Donors%20&%20Power%20Networks/Pharma%20&%20Healthcare/Gilead%20Sciences,content/Donors & Power Networks/Pharma & Healthcare/Gilead Sciences.md,GILEAD FOUNDATION,true,2019|2020|2021|2022|2023,true
311678646,ent_000020,Goldman Sachs,https://thedonormap.org/Donors%20&%20Power%20Networks/Wall%20Street/Goldman%20Sachs,content/Donors & Power Networks/Wall Street/Goldman Sachs.md,THE GOLDMAN SACHS FOUNDATION,true,2019|2020|2022|2023|2024,true
311774905,ent_001516,Goldman Sachs Philanthropy Fund,https://thedonormap.org/Donors%20&%20Power%20Networks/Wall%20Street/Goldman%20Sachs%20Philanthropy%20Fund,content/Donors & Power Networks/Wall Street/Goldman Sachs Philanthropy Fund.md,Goldman Sachs Philanthropy Fund,true,2020|2022,true
200849590,ent_001517,Greater Horizons,https://thedonormap.org/Donors%20&%20Power%20Networks/Wall%20Street/Greater%20Horizons,content/Donors & Power Networks/Wall Street/Greater Horizons.md,GREATER HORIZONS,true,2020|2022,true
521256643,ent_000399,Gun Owners of America,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Gun%20Owners%20of%20America,content/Donors & Power Networks/Dark Money/Gun Owners of America.md,GUN OWNERS OF AMERICA INC,true,2018|2019|2020|2022|2023|2024,true
